Group,Code,Name,Year,Antigen,Antigen_description,Coverage_category,Coverage_category_description,Target_number,Doses,Coverage
COUNTRIES,IND,India,2010,BCG,Bacille Calmette-Guerin (Tuberculosis),ADMIN,Administrative coverage (doses given / target population),2279774.0,1942316,85.2
COUNTRIES,IND,India,2010,BCG,Bacille Calmette-Guerin (Tuberculosis),OFFICIAL,Official country-reported coverage estimate,1174831.0,907345,77.2
COUNTRIES,IND,India,2010,BCG,Bacille Calmette-Guerin (Tuberculosis),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4298541.0,3554279,82.7
COUNTRIES,IND,India,2010,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,ADMIN,Administrative coverage (doses given / target population),4146774.0,3395216,81.9
COUNTRIES,IND,India,2010,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,OFFICIAL,Official country-reported coverage estimate,3517588.0,3177103,90.3
COUNTRIES,IND,India,2010,DTP1,Diphtheria/Tetanus/Pertussis - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1804903.0,1481069,82.1
COUNTRIES,IND,India,2010,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3405699.0,2754273,
COUNTRIES,IND,India,2010,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,OFFICIAL,Official country-reported coverage estimate,3902998.0,3363569,86.2
COUNTRIES,IND,India,2010,DTP3,Diphtheria/Tetanus/Pertussis - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2514068.0,2148564,85.5
COUNTRIES,IND,India,2010,MCV1,Measles-containing vaccine - 1st dose,ADMIN,Administrative coverage (doses given / target population),266828.0,228325,85.6
COUNTRIES,IND,India,2010,MCV1,Measles-containing vaccine - 1st dose,OFFICIAL,Official country-reported coverage estimate,4616512.0,3718451,80.5
COUNTRIES,IND,India,2010,MCV1,Measles-containing vaccine - 1st dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3736572.0,2985962,79.9
COUNTRIES,IND,India,2010,MCV2,Measles-containing vaccine - 2nd dose (booster),ADMIN,Administrative coverage (doses given / target population),4532402.0,3928738,86.7
COUNTRIES,IND,India,2010,MCV2,Measles-containing vaccine - 2nd dose (booster),OFFICIAL,Official country-reported coverage estimate,1883775.0,1690859,89.8
COUNTRIES,IND,India,2010,MCV2,Measles-containing vaccine - 2nd dose (booster),WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2341555.0,1825109,77.9
COUNTRIES,IND,India,2010,POL3,Polio - 3rd dose,ADMIN,Administrative coverage (doses given / target population),693111.0,540892,78.0
COUNTRIES,IND,India,2010,POL3,Polio - 3rd dose,OFFICIAL,Official country-reported coverage estimate,2844274.0,2487169,87.4
COUNTRIES,IND,India,2010,POL3,Polio - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,3365579.0,2902616,86.2
COUNTRIES,IND,India,2010,HEPB3,Hepatitis B - 3rd dose,ADMIN,Administrative coverage (doses given / target population),3850827.0,3249260,
COUNTRIES,IND,India,2010,HEPB3,Hepatitis B - 3rd dose,OFFICIAL,Official country-reported coverage estimate,4169686.0,3489417,
COUNTRIES,IND,India,2010,HEPB3,Hepatitis B - 3rd dose,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,4495533.0,3965682,88.2
