Group,Code,Name,Year,Disease,Disease_description,Denominator,Incidence_rate
COUNTRIES,IND,India,2010,MEASLES,Measles,"per 1,000,000 population",9.7
COUNTRIES,IND,India,2010,POLIO,Poliomyelitis,"per 1,000,000 population",12.92
COUNTRIES,IND,India,2010,PERTUSSIS,Pertussis (Whooping cough),"per 1,000 live births",21.03
COUNTRIES,IND,India,2010,DIPHTHERIA,Diphtheria,"per 100,000 population",4.62
COUNTRIES,IND,India,2010,TB,Tuberculosis,"per 1,000 live births",2.98
COUNTRIES,IND,India,2010,HEPB,Hepatitis B,"per 100,000 population",6.52
COUNTRIES,IND,India,2011,MEASLES,Measles,"per 1,000 live births",13.62
COUNTRIES,IND,India,2011,POLIO,Poliomyelitis,"per 1,000 live births",13.9
COUNTRIES,IND,India,2011,PERTUSSIS,Pertussis (Whooping cough),"per 100,000 population",14.04
COUNTRIES,IND,India,2011,DIPHTHERIA,Diphtheria,"per 100,000 population",18.24
COUNTRIES,IND,India,2011,TB,Tuberculosis,"per 1,000 live births",20.17
COUNTRIES,IND,India,2011,HEPB,Hepatitis B,"per 100,000 population",14.58
COUNTRIES,IND,India,2012,MEASLES,Measles,"per 1,000 live births",4.89
COUNTRIES,IND,India,2012,POLIO,Poliomyelitis,"per 1,000 live births",3.04
COUNTRIES,IND,India,2012,PERTUSSIS,Pertussis (Whooping cough),"per 100,000 population",19.09
COUNTRIES,IND,India,2012,DIPHTHERIA,Diphtheria,"per 1,000 live births",11.02
COUNTRIES,IND,India,2012,TB,Tuberculosis,"per 1,000,000 population",27.32
COUNTRIES,IND,India,2012,HEPB,Hepatitis B,"per 100,000 population",20.49
COUNTRIES,IND,India,2013,MEASLES,Measles,"per 1,000 live births",29.37
COUNTRIES,IND,India,2013,POLIO,Poliomyelitis,"per 100,000 population",21.72
COUNTRIES,IND,India,2013,PERTUSSIS,Pertussis (Whooping cough),"per 1,000,000 population",7.12
COUNTRIES,IND,India,2013,DIPHTHERIA,Diphtheria,"per 1,000,000 population",1.78
COUNTRIES,IND,India,2013,TB,Tuberculosis,"per 100,000 population",0.0
COUNTRIES,IND,India,2013,HEPB,Hepatitis B,"per 1,000 live births",11.77
COUNTRIES,IND,India,2014,MEASLES,Measles,"per 100,000 population",3.52
COUNTRIES,IND,India,2014,POLIO,Poliomyelitis,"per 1,000 live births",13.24
COUNTRIES,IND,India,2014,PERTUSSIS,Pertussis (Whooping cough),"per 100,000 population",30.46
COUNTRIES,IND,India,2014,DIPHTHERIA,Diphtheria,"per 1,000,000 population",5.66
COUNTRIES,IND,India,2014,TB,Tuberculosis,"per 1,000,000 population",9.48
COUNTRIES,IND,India,2014,HEPB,Hepatitis B,"per 1,000 live births",6.06
COUNTRIES,IND,India,2015,MEASLES,Measles,"per 1,000 live births",25.69
COUNTRIES,IND,India,2015,POLIO,Poliomyelitis,"per 100,000 population",18.99
COUNTRIES,IND,India,2015,PERTUSSIS,Pertussis (Whooping cough),"per 1,000 live births",20.52
COUNTRIES,IND,India,2015,DIPHTHERIA,Diphtheria,"per 1,000,000 population",14.56
COUNTRIES,IND,India,2015,TB,Tuberculosis,"per 1,000 live births",17.95
COUNTRIES,IND,India,2015,HEPB,Hepatitis B,"per 100,000 population",17.77
COUNTRIES,IND,India,2016,MEASLES,Measles,"per 1,000 live births",11.98
COUNTRIES,IND,India,2016,POLIO,Poliomyelitis,"per 100,000 population",13.46
COUNTRIES,IND,India,2016,PERTUSSIS,Pertussis (Whooping cough),"per 100,000 population",23.35
COUNTRIES,IND,India,2016,DIPHTHERIA,Diphtheria,"per 1,000 live births",12.95
COUNTRIES,IND,India,2016,TB,Tuberculosis,"per 1,000 live births",9.96
COUNTRIES,IND,India,2016,HEPB,Hepatitis B,"per 1,000 live births",15.8
COUNTRIES,IND,India,2017,MEASLES,Measles,"per 1,000 live births",9.53
COUNTRIES,IND,India,2017,POLIO,Poliomyelitis,"per 100,000 population",27.53
COUNTRIES,IND,India,2017,PERTUSSIS,Pertussis (Whooping cough),"per 1,000,000 population",22.53
COUNTRIES,IND,India,2017,DIPHTHERIA,Diphtheria,"per 1,000,000 population",16.11
COUNTRIES,IND,India,2017,TB,Tuberculosis,"per 1,000 live births",23.85
COUNTRIES,IND,India,2017,HEPB,Hepatitis B,"per 1,000 live births",8.97
COUNTRIES,IND,India,2018,MEASLES,Measles,"per 1,000,000 population",21.98
COUNTRIES,IND,India,2018,POLIO,Poliomyelitis,"per 1,000,000 population",4.46
COUNTRIES,IND,India,2018,PERTUSSIS,Pertussis (Whooping cough),"per 1,000,000 population",13.26
COUNTRIES,IND,India,2018,DIPHTHERIA,Diphtheria,"per 1,000,000 population",9.41
