Group,Code,Name,Year,Disease,Disease_description,Cases
COUNTRIES,IND,India,2010,MEASLES,Measles,204
COUNTRIES,IND,India,2010,POLIO,Poliomyelitis,603
COUNTRIES,IND,India,2010,PERTUSSIS,Pertussis (Whooping cough),166
COUNTRIES,IND,India,2010,DIPHTHERIA,Diphtheria,52
COUNTRIES,IND,India,2010,TB,Tuberculosis,127
COUNTRIES,IND,India,2010,HEPB,Hepatitis B,58
COUNTRIES,IND,India,2011,MEASLES,Measles,386
COUNTRIES,IND,India,2011,POLIO,Poliomyelitis,671
COUNTRIES,IND,India,2011,PERTUSSIS,Pertussis (Whooping cough),727
COUNTRIES,IND,India,2011,DIPHTHERIA,Diphtheria,674
COUNTRIES,IND,India,2011,TB,Tuberculosis,525
COUNTRIES,IND,India,2011,HEPB,Hepatitis B,814
COUNTRIES,IND,India,2012,MEASLES,Measles,45
COUNTRIES,IND,India,2012,POLIO,Poliomyelitis,104
COUNTRIES,IND,India,2012,PERTUSSIS,Pertussis (Whooping cough),752
COUNTRIES,IND,India,2012,DIPHTHERIA,Diphtheria,422
COUNTRIES,IND,India,2012,TB,Tuberculosis,1356
COUNTRIES,IND,India,2012,HEPB,Hepatitis B,419
COUNTRIES,IND,India,2013,MEASLES,Measles,543
COUNTRIES,IND,India,2013,POLIO,Poliomyelitis,173
COUNTRIES,IND,India,2013,PERTUSSIS,Pertussis (Whooping cough),40
COUNTRIES,IND,India,2013,DIPHTHERIA,Diphtheria,34
COUNTRIES,IND,India,2013,TB,Tuberculosis,0
COUNTRIES,IND,India,2013,HEPB,Hepatitis B,142
COUNTRIES,IND,India,2014,MEASLES,Measles,177
COUNTRIES,IND,India,2014,POLIO,Poliomyelitis,295
COUNTRIES,IND,India,2014,PERTUSSIS,Pertussis (Whooping cough),327
COUNTRIES,IND,India,2014,DIPHTHERIA,Diphtheria,78
COUNTRIES,IND,India,2014,TB,Tuberculosis,224
COUNTRIES,IND,India,2014,HEPB,Hepatitis B,259
COUNTRIES,IND,India,2015,MEASLES,Measles,1140
COUNTRIES,IND,India,2015,POLIO,Poliomyelitis,862
COUNTRIES,IND,India,2015,PERTUSSIS,Pertussis (Whooping cough),150
COUNTRIES,IND,India,2015,DIPHTHERIA,Diphtheria,78
COUNTRIES,IND,India,2015,TB,Tuberculosis,468
COUNTRIES,IND,India,2015,HEPB,Hepatitis B,378
COUNTRIES,IND,India,2016,MEASLES,Measles,250
COUNTRIES,IND,India,2016,POLIO,Poliomyelitis,388
COUNTRIES,IND,India,2016,PERTUSSIS,Pertussis (Whooping cough),327
COUNTRIES,IND,India,2016,DIPHTHERIA,Diphtheria,130
COUNTRIES,IND,India,2016,TB,Tuberculosis,32
COUNTRIES,IND,India,2016,HEPB,Hepatitis B,567
COUNTRIES,IND,India,2017,MEASLES,Measles,125
COUNTRIES,IND,India,2017,POLIO,Poliomyelitis,1278
COUNTRIES,IND,India,2017,PERTUSSIS,Pertussis (Whooping cough),773
COUNTRIES,IND,India,2017,DIPHTHERIA,Diphtheria,31
COUNTRIES,IND,India,2017,TB,Tuberculosis,889
COUNTRIES,IND,India,2017,HEPB,Hepatitis B,83
COUNTRIES,IND,India,2018,MEASLES,Measles,314
COUNTRIES,IND,India,2018,POLIO,Poliomyelitis,50
COUNTRIES,IND,India,2018,PERTUSSIS,Pertussis (Whooping cough),733
COUNTRIES,IND,India,2018,DIPHTHERIA,Diphtheria,199
COUNTRIES,IND,India,2018,TB,Tuberculosis,342
COUNTRIES,IND,India,2018,HEPB,Hepatitis B,236
COUNTRIES,IND,India,2019,MEASLES,Measles,94
COUNTRIES,IND,India,2019,POLIO,Poliomyelitis,1492
COUNTRIES,IND,India,2019,PERTUSSIS,Pertussis (Whooping cough),77
COUNTRIES,IND,India,2019,DIPHTHERIA,Diphtheria,10
COUNTRIES,IND,India,2019,TB,Tuberculosis,160
COUNTRIES,IND,India,2019,HEPB,Hepatitis B,397
COUNTRIES,IND,India,2020,MEASLES,Measles,36
COUNTRIES,IND,India,2020,POLIO,Poliomyelitis,0
COUNTRIES,IND,India,2020,PERTUSSIS,Pertussis (Whooping cough),0
COUNTRIES,IND,India,2020,DIPHTHERIA,Diphtheria,0
COUNTRIES,IND,India,2020,TB,Tuberculosis,9
COUNTRIES,IND,India,2020,HEPB,Hepatitis B,320
COUNTRIES,IND,India,2021,MEASLES,Measles,784
