ISO_3_Code,Country_Name,Who_Region,Year,Description,Intro
IND,India,SEARO,2010,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2011,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2012,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2013,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2014,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2015,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2016,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2017,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2018,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2019,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2020,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2021,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2022,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2023,Bacille Calmette-Guerin (Tuberculosis),Yes
IND,India,SEARO,2010,Diphtheria/Tetanus/Pertussis - 1st dose,No
IND,India,SEARO,2011,Diphtheria/Tetanus/Pertussis - 1st dose,No
IND,India,SEARO,2012,Diphtheria/Tetanus/Pertussis - 1st dose,No
IND,India,SEARO,2013,Diphtheria/Tetanus/Pertussis - 1st dose,No
IND,India,SEARO,2014,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2015,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2016,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2017,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2018,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2019,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2020,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2021,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2022,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2023,Diphtheria/Tetanus/Pertussis - 1st dose,Yes
IND,India,SEARO,2010,Diphtheria/Tetanus/Pertussis - 3rd dose,No
IND,India,SEARO,2011,Diphtheria/Tetanus/Pertussis - 3rd dose,No
IND,India,SEARO,2012,Diphtheria/Tetanus/Pertussis - 3rd dose,No
IND,India,SEARO,2013,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2014,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2015,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2016,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2017,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2018,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2019,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2020,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2021,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2022,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2023,Diphtheria/Tetanus/Pertussis - 3rd dose,Yes
IND,India,SEARO,2010,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2011,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2012,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2013,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2014,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2015,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2016,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2017,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2018,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2019,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2020,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2021,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2022,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2023,Measles-containing vaccine - 1st dose,Yes
IND,India,SEARO,2010,Measles-containing vaccine - 2nd dose (booster),Yes
IND,India,SEARO,2011,Measles-containing vaccine - 2nd dose (booster),Yes
